""	"textOriginal"
"83"	"Biar xinjimping aj yg garap proyeknya"
"84"	"Biarin ja ada Allah ini biar di aherat berat pertanggung jawabanya emang mudah minta ampunan dr Allah... Mereka pikir dunia ini milik mereka."
"85"	"Biasa lah....politik mah gituh...mba najwa pura2 gak paham..."
"86"	"BIASALAAHHHHHHHH......
rakyat semakin sejahtera dengan pejabat pejabat yang sangat memntingkan rakyat nya😭"
"87"	"Bisa memahami mengapa Prof. Emil Salim sangat gundah dg kondisi Indonesia di masa depan."
"88"	"Bongkar habis."
"89"	"BOSMAN MARDIGU 2024 ....👍👍👍"
"90"	"Buat sertifikat aja ampun2 mahal nya harus ada tanda tangan bupati pula ampun, rakyat kecil ya bisa apa"
"91"	"Bukan akibat sih, tapi lebih kepada alurnya knp kpk \"harus\" diganggu dan disusupi oleh polisi yg notabenenya kagak independen"
"92"	"Bukan ibu kota Indonesia baru tapi ibu kota orang  ."
"93"	"Bukan keluarga prabowo aja kali , yg punya lahan di sana ....... tapi juga banyak keluarga mentri2 yg lainnya ..... sebentar lagi juga habis tuh lahan2 di sana sama para pemilik modal besar ....... yang kasian mah orang2 di sana , yang pada akhirnya hanya akan jadi buruh di kampungnya sendiri ......... Sumber daya manusia di sana belum siap bersaing dengan pendatang2 dari luar ..... yang punya pendidikan tinggi , punya modal besar , dan punya akses terhadap kekuasaan ......."
"94"	"buktinya bisnis PCR. masalah kemanusiaan pengusaha masih ambil untung 1000%, kalau soal kebanggaan pemerintah santai saja merah putih ngga berkibar di even olahraga internasional, jadi tak perlu diragukan bahwa pak gubernur itu ngibul."
"95"	"Cantikx adk nana,ap lgi zeksi dikit..."
"96"	"Cantikx adk nana,cantik ssui isi hatix ap lgi lw seksi dikit..."
"97"	"Carut marut penataan Tata Ruang di negeri ini, terbungkus rapi oleh preman preman berdasi negeri ini !"
"98"	"Cerdas banget cukong kuasai pejabat....coba kalau presiden pintar pasti bela kepentingan rakuat"
"99"	"CHANNEL : #congorkadrun"
"100"	"Coba ko lihat luhut 😂"
"101"	"Cuan 😂"
"102"	"Cuan bro... Proyek, bikin kenyang pejabat. Bodo amat sama lingkungan dan nasib rakyat sekitar. 

Gitu kata para pejabat terkait"
"103"	"Dan lu bisa apa?"
"104"	"Dari dulu juga ada mba..masyarakat dah tahu.. kan waktu debat pilpres prabowo dah ngomong."
"105"	"Dari dulu Semua orang sdh tahu itu, kentrung. 🤣😅"
"106"	"depan rakyat mereka beradu dibelakang mereka padu....wkwkwkkkkk"
"107"	"disini aja ada RT pos di jadiin bengkel pribadi apalagi adik nya dan si wowo tuhan nya kampreters"
"108"	"Drpd jakarta yang katanya mau kelelep, eh maap..."
"109"	"Dukung kai Isran tuk IKN ... 👍👍"
"110"	"Dulu waktu 2014 najwa disanjung karena dukung pakde. Tapi setelah 2019 najwa kritik pakde, najwa dirisak. 

Dulu purabowo dinista, kini purabowo disanjung dan dibela jokkowers. 

Inilah akibatnya kalau mengkultuskan pakde dan mengikuti nasihat sesat mbuzzerp macam densir."
"111"	"Editing videonya mantab"
"112"	"Elit politik cuma membela kantong ny"
"113"	"Enaknya Bohir Penguasa. Kalah tetap dapat jabatan dan proyek Akbar"
"114"	"Fraud atau Pride 😂🤣"
"115"	"ga ada bedanya setelah jd pejabat"
"116"	"Ga masuk akal yg di pertanyaan mba najwa tanah yg di sewakan ke penguasa semua milik negara jadi negara punya hak mengambil alih dgn tdk memperpanjang kontrak"
"117"	"Gak mungkin rela begitu saja pak,
Jngn bisa di bodohi pak,
Klo bapak mungkin bisa merelakan, tpi mereka² dalam pikirannya yg penting cuan,"
"118"	"GAK SUKA ... MASA LALU.
PNS UDH PD BELI KPR BTN .. NYICIL.
DI SANA RUMAH DINAS KALO PENSIUN HENGKANG.
SEKOLAH TERBAIK JUGA ISINYABDI JAKARTA dan TANGSEL SEMUA. BUKAN KALIMANTAN. GAK ADA TUH DI HASIL UTBK SBMPTN 2021. KALIMANTAN"
"119"	"Gila\", Mba the real pahlawan jurnalistik"
"120"	"Gileeee.... dia lagi dia lagi.
Manusia memang tdk ada puasnya sampai waktunya nanti hidungnya memcium tanah baru selesai."
"121"	"gini ya... nitizen jangan munafik dan pura pura goblok
siapapun jadi pemimpin di indonesia, mau itu jokowi, atau prabowo, atau anis sekalipun nantinya, pasti orang orang mereka yang akan menguasai ekonomi, pasti orang orang mereka yang akan di tunjuk jadi pejabat atau jadi bos BUMN, itu udah lumrah, di negara manapun di dunia ini seperti itu.
jadi nggak usah sok heran.
karna politik itu adalah masalah \" SIAPA MENDAPATKAN APA\""
"122"	"Gitu emang gurbernur ku kawan,. Gk trima lo sini gelud"
"123"	"Gk apa2....hidup dayakk"
"124"	"Gk masuk akal yg punya perusahaan bakal pasrah aja kepada pemerintahan ketika d robah kn  bangunan y ... 
Logika aja bos .. 
Ketika rumah gubernur d robah kn apakah mau pasrah aja gk bakal ganti rugi ..."
"125"	"Gub gua itu.. Gk trima kau"
"126"	"Gubernur cerdas pantas dijadikan narasumber 😂😂😂"
"127"	"Gubernur seperti.a sdah kenyang 😂😂😂"
"128"	"Gubernur seperti.a sdah kenyang 😂😂😂"
"129"	"Gubernur tukang nyela omongan, adabnya mana Pak?"
"130"	"Gubernurnya kayaknya kekeyagan jd ngomongnya kuat"
"131"	"Gubernurnya ngeles.. kayak nutupin sesuatu"
"132"	"Gubernurnya terlalu polos untuk dikorek🤣"
"133"	"Gubernurx asal ngomong......praktekx bggmn"
"134"	"Gw tau itu pasti suara sih cantik sharon margrid😘"
"135"	"Ha ha ha, sebjata najwa tumpul semua, kaciaaaaan.
Trims pak gubernur"
"136"	"Hadeuh penguasa tanah ga pernah luput dr turunan trah keluarga besar Soeharto dr jaman baheula... Mulai anak sampai mantu atau keluarga mantan mantu... Ga salah emg dibilang kaya 7 turunan la wong dr ujung barat sampai ujung timur pasti punya tanah"
"137"	"Hadir ka nazwa cantik🙃❤🙃"
"138"	"Haha baru mau komen begitu"
"139"	"Hahahaa enak bgt ya, mereka bagi - bagi negara ini sesama mereka saja. Menjijikkan!"
"140"	"Hahahaha.... Punya tempat tp kita nyewa"
"141"	"Hak guna usaha tanah .apa bila  pemerintah akan menggunakan tanah yg di kuasai konglomerat .tak ada ganti untung .itu sudah perjanjian"
"142"	"Hancur kaltim hancur oleh kolonialisme 2.0 !"
"143"	"Hancurnya bumi Kalimantan sudah sejak lama teh Nana... Oleh mereka para pengusaha yang nyambi jadi pejabat.... Yang selalu ngomong atas nama Rakyat..."
"144"	"Hasil demokrasi apa"
"145"	"hasil suharto mulai terlihat yang di banggakan oleh pendukungnya bahwa banyak tanah orang cendana di luar jawa atau di jawa di kuasai cendana. HAK GUNA USAHA ITU BISA KEMBALI K NEGARA KARENA IZIN NYA HANYA USAHA. negara butuh harus kembali k negara. selama gak di panas panasi pengusahanya"
"146"	"Hati2 entar lagi ada Surat SOMASI Mbak nana😬"
"147"	"Hehe,,gua udah survei ke lahan adik Prabowo gua udah punya video survei nya,,"
"148"	"Hehehe......ada yang tidak masuk dalam gerbong ya?"
"149"	"Hgb   negara punya ...,, beda kalo dikuasai masyarakat.. Ujung²nya planggaran ham ( beritanya nanti)."
"150"	"HGU ya kalau diminta balik negara itu konsekuensi HGU. Mereka pengusaha sudah cuan lah pastinya berkali-kali panen dan itu sudah bagian perjanjian kalau negara minta balikan lahan ya harus legowo. Tidak perlu skema atau ganti rugi."
"151"	"HGU.... bisa dikembalikan ke negara kalau diperlukan..."
"152"	"Hidup cukong
Hidup oligarki
Pelihara terus"
"153"	"Hidup tanpa masalah = Mati, ingin hidup kendalikan masalah oleh org2 yg beritegrasi bukan org2 yg suka menelikung. Menerima Taqdir bagian kenyamanan hidup, susah melihat org senang dan sukses bagian kepahitan hidup"
"154"	"Hihihi..yg penting itu bukan pemindahan ikn..sebab bagaimana pemindahan pendapatan seluruh rakyat yg msh kalah jauh besarannya dibandingkan dgn neg neg yg sdh lebih dulu menjadi neg dgn pendapatan seluruh rakyatnya msk sbg neg menengah keatas..lha kalo pendapatan seluruh rakyat neg ini hihihi belom dihitung oleh badan badan international yg membidangi soal pendapatan..ga penting penting amat huhuhu..."
"155"	"Hmm"
"156"	"Hmmm emang sy duga PDI.P LULUH KEPANGKUANX CENDANA ,,, JOKOWI ADALAH PRABOWO , PRABOWO ADALAH JOKOWI ,,,PILPRES 2014-2019 ADALAH SANDIWARA YG MANTAP,,,"
"157"	"Ibu kota baru utk rakyat indonesia."
"158"	"Ibukota baru Koruptor berjamaah"
"159"	"Ibukota negara yg baru d pindahin ajee k Metaverse x yach."
"160"	"Ibukota negara yg baru d pindahin ajee k Metaverse x yach."
"161"	"Ibukota sebaiknya tetap di jawa"
"162"	"IKN jangka panjang nya akan menyengsarakan rakyat kecil..jangka pendek nya membuat kaya para cukong2."
"163"	"Ikn untk kepentingan oligarki bukan untk rakyat .."
"164"	"INDONESIA DIKUASAI PARA MALING....!!!"
"165"	"indonesia maju
indonesia modern
itu rencana pa presiden untuk pindah nya ibu kota, ingin memperlihatkann bahwa indonesia akan lebih baik di mata dunia, bagus memang tpi apakah presiden bisa lihat saat ini indonesia sedang sperti apa? 
sangat disyaangkan disaat ekonomi indonesia seperti ini, kita harus siapkan 400 triliun lebih untuk ibukota baru, sangat sangat di sayangkan"
"166"	"Indonesia tidak sedang baik² saja. sakaratul maut dikarenakan mental pejabat yang kotor. Seindah apapun memoles pencitraan terkait ibu kota baru, rakyat sangat paham maksud dan tujuan terselubung nya."
"167"	"info yg sangat mulia. 
jaga kesehatan dan keselamatan mba nana, semga Allah selalu melindungi panjenengan dan tim narasi, 🤲🤲"
"168"	"Ingat gak dulu ada proyek lahan pertanian sejuta hektar. Lahan gambut mau dijadikan lahan pertanian. Ujung2 nya gagal total."
"169"	"Ini Gubernur ngomong apa sih? yakin banget konglomerat bakalan ngasih lahan itu cuma cuma tanpa tukar guling/itung itungan...sotoy!"
"170"	"Ini kesempatan para orang kaya semakin kaya dengan memiliki lahan disekitar ibu kota 😂😂😂😂😂😂💦"
"171"	"Ini orang blum jdi presiden aja sudah kebaca tindak tanduknya, sudh mulai bagi2 proyek, pdahal baru menteri, blum lg klo jdi presiden dia, jgn2 kayak orde lama yaaah pada bagi2 jatah, sumpah gue gak akan pilih orag ituu mau dia ngecapres 1000x pun, jjijik gua"
"172"	"Ini semua berkat Soeharto, terimakasih Soeharto sudah menguasai Harta Negara yang harusnya harta rakyat"
"173"	"Inilah kelebihan bangsa +62 yang katanya kaya dan merdeka dari penjajahan tapi kemerdekaan itu milik korporasi/mafia dan orang yang bekerja dipemerintahan/penguasa baik dari pusat sampai daerah yang akhirnya tanah,air,udara tuk sebagian beli dan sulit dalam menikmati kemerdekaan sejatinya.Pembodohan dan kamuflase elit demi cuan yang dinikmati 7keturunan hidup nyaman,dengan sendirinya menciptakan bagaimana menyelematkan kekayaan dalam bingkai kepentingan pribadi para begundal tuk menciptakan perbudakan bahkan menguras semua potensi dengan asas bahasa \"rakyat\". Saatnya kita harus berusaha tuk menyelamatkan dan mensejahterakan keluarga sendiri karena jangan pernah berharap kesejahtraan yg adil dan merata di negeri ini ."
"174"	"Intinya, maksain bikin ibu kota baru, hanya lebih kepada bisnis..., Makanya ada ide PT suara partai. Skr mesti di dukung tuh , yg ajukan PT 0% , semoga jd ikhtiar utk Indonesia lebih bersih dr kepentingan sekelompok saja."
"175"	"Investor terbesar di RI adalah Singapura. https://youtu.be/O1jyJSmPXHk
Kenapa China jadi kambing hitam? Negara tidak senang dengan kebangkitan dan pengaruh China, adalah USA. China selalu berorientasi ke bisnis. https://youtu.be/3MQFZ9azHTw 
USA selalu menginvasi negara² Islam. 
Untuk di jarah sumber alamnya (minyak). https://youtu.be/QfiBezLJl0U
Sejak Jokowi Presiden RI, banyak Negara Barat yang kepentingannya terganggu.
https://youtu.be/MNUfBJacU58
Di tanah air, ada gerombolan yang selalu bawa² China dan Komunis di setiap isu. https://youtu.be/bHdjAl-5flM
Tak ingin presiden 2024 mirip dengan Jokowi (Prabowo?)  https://youtu.be/3gNDuhYHzBM 
Mereka teriak² menolak IKN, dengan narasi yang serba dungu.Sebenarnya bisa ditarik kesimpulan. Mereka bekerja untuk kepentingan dan menjadi antek siapa? Kebetulan ada gerombolan anak bangsa yang bodoh. Mereka di manfaatkan untuk
membuat gaduh. Hanya demi sesuap nasi !? 
https://youtu.be/BoECc2Y3Cvo
Bangsa ini sedang diadu domba.
https://youtu.be/LMIFGDHAyXE
🇲🇨 HARGA MATI ✊."
"176"	"Isran kau jual negeri kita ke oligarki...."
"177"	"Itu dikuasai sejak jaman Soeharto yang memeras rakyatnya"
"178"	"Itu dimulai dengan satu nama : soeharto 😅"
"179"	"Itu memang tanah Negara,Tapi untuk sementara waktu ( kontrak ) di gunakan oleh beberapa perusahaan.Dalam transaksinya hanya Hak Guna Bukan Hak Milik.Jadi kalo Hak Guna ketika mau dipergunakan oleh Negara lagi bisa"
"180"	"Itulah hebatnya pk Jokowi....sekali tepok terungkaplah semua.....,jadi inilah yg pk jokowi bilang...duluh yg selama ini gembar gembor kalau sebagian besar tanah dikuasai asing,...untuk sembunyikan dirinya sendiri..."
"181"	"Itulah indonesia..nanti pun lahan bnyk d kuasai asing...silahkan keruk kekayaan ini  niscaya kelak kau akan d gulung oleh tanah itu sendiri"
"182"	"Itulah salah satu nya prabowo ingin gabung jokowi.para elit politik bauk.."
"183"	"Itulah yg nampak.. Di dlm negara Indonesia  siap merampok rampok hasil daerah lain😂😂"
"184"	"Iya memang banyak lahannya keluarga pak Prabowo tapi itu sudah sangat lama dan itu hak mereka karna punya surat surat. Yg kebanyakan sekarang banyak warga yg mau membuat surat tanah tapi bukan tanahnya"
"185"	"Iyaa saya lagi #nadapakpalaseno 🤣"
"186"	"Jangan jadi Cendana baru"
"187"	"Jangan sibuk terus terusan urusin pendapatan orang lain...."
"188"	"Jawaban yg sdh tertekan sama mba nana"
"189"	"Jgn jadikan kaltim menjadi jakarta kedua"
"190"	"Kalau ngikutin kritik mbak nana semua, gk jalan2 negara ini🤣, acara mbak nana  aja banyak kepentingan dan titipann,,🤣"
"191"	"Kalau semua dikait kaitkan pasti terkait...yang nyoroti...kepo...coba lah ..kalau keluarga nya atau saudaranya...gimana yooo..."
"192"	"Kalau tidak salah Belanda hampir seluruhnya negara yg berada di bawah muka air tapi bisa mengatasi masalah banjir lah kenapa kita harus pindah ibukota?"
"193"	"Kalaupun adik Prabowo punya lahan di Kaltim kenapa dipermasalahkan sepanjang ia mendapatkan Syah secara hukum"
"194"	"Kalian tau gak sih 98% turunan arab di Indonesia itu dari negara YAMAN spt shihab, baswedan, assegaf dll.
Dan mereka genetika yaman yg negaranya sudah hancur mau menciptakan kerusakan perang saudara di negara mereka terdampar"
"195"	"Kalimantan yg terjajah🤣🤣🤣🤣🤣🤣🤣🤣🤣"
"196"	"Kalo lahan.. Kluarga prabowo dari jaman soeharto sdh ada.. PT jaya timber group.
Gak ingat waktu debat pilpres sih.. Tapi..itu.
Sebuah konsekwensi. Lahan..yg ada dan tdk banyak konflik..disitulah yg layak.dari berbagai sisi dg tempat lainnya..!"
"197"	"Kami sebagai fans rezim siap untuk mendukung segala kebijakan untuk memperkaya keluarga Prabowo yg sebelumnya kami klaim sebagai cendana!

Wkwkwkwk."
"198"	"Kami tunggu2 liputan Najwa sihab.sang motifator perempuan 😍"
"199"	"Kami yg lahir dan di besarkan di sini aja, tidak memiliki tanah seluas itu.."
"200"	"kan ga semua sanggup dibiayai pemerintah, so perlu mitra dari swasta.. Jakarta saja dulu yang mbangun kongsi dagang VOC, EIC, dilanjut kolonial Belanda.. So, apa yang salah.."
"201"	"Kan prabowo dlu pernh crita klo ada tanah di kaltim😂"
"202"	"karepmu....yg panting hidup di hongkong lebih makmur"
"203"	"Kata pak gubernur pasti rela. Sotoy"
"204"	"Kd usah ngotot2 pak gubernur lah...mudahan Alloh swt memberi yg terbaik utk negeri tercinta..."
"205"	"Kegaduhan demi kegaduhan sengaja terus di angkat untuk menutupi fakta  tentang ikn...."
"206"	"Kejar terus bhak najwa"
"207"	"Kenapa gak pakai kata Rp, malah mempopolirkan kata Cuan, tlg ba nana pakailah nama mata uang kita,Rp mbak nana seorang wartawan dan pablikfigur aoa yg di ucapkan mbak nana pasti di ikuti orang"
