"","row_num","sentiment","textOriginal"
"61",110,-2,"Dulu waktu 2014 najwa disanjung karena dukung pakde. Tapi setelah 2019 najwa kritik pakde, najwa dirisak. 

Dulu purabowo dinista, kini purabowo disanjung dan dibela jokkowers. 

Inilah akibatnya kalau mengkultuskan pakde dan mengikuti nasihat sesat mbuzzerp macam densir."
"62",111,1,"Editing videonya mantab"
"63",112,-1,"Elit politik cuma membela kantong ny"
"64",113,0,"Enaknya Bohir Penguasa. Kalah tetap dapat jabatan dan proyek Akbar"
"65",117,1,"Gak mungkin rela begitu saja pak,
Jngn bisa di bodohi pak,
Klo bapak mungkin bisa merelakan, tpi mereka² dalam pikirannya yg penting cuan,"
"66",118,1,"GAK SUKA ... MASA LALU.
PNS UDH PD BELI KPR BTN .. NYICIL.
DI SANA RUMAH DINAS KALO PENSIUN HENGKANG.
SEKOLAH TERBAIK JUGA ISINYABDI JAKARTA dan TANGSEL SEMUA. BUKAN KALIMANTAN. GAK ADA TUH DI HASIL UTBK SBMPTN 2021. KALIMANTAN"
"67",119,0,"Gila"", Mba the real pahlawan jurnalistik"
"68",121,0,"gini ya... nitizen jangan munafik dan pura pura goblok
siapapun jadi pemimpin di indonesia, mau itu jokowi, atau prabowo, atau anis sekalipun nantinya, pasti orang orang mereka yang akan menguasai ekonomi, pasti orang orang mereka yang akan di tunjuk jadi pejabat atau jadi bos BUMN, itu udah lumrah, di negara manapun di dunia ini seperti itu.
jadi nggak usah sok heran.
karna politik itu adalah masalah "" SIAPA MENDAPATKAN APA"""
"69",124,-2,"Gk masuk akal yg punya perusahaan bakal pasrah aja kepada pemerintahan ketika d robah kn  bangunan y ... 
Logika aja bos .. 
Ketika rumah gubernur d robah kn apakah mau pasrah aja gk bakal ganti rugi ..."
"70",125,-1,"Gub gua itu.. Gk trima kau"
"71",126,2,"Gubernur cerdas pantas dijadikan narasumber 😂😂😂"
"72",130,0,"Gubernurnya kayaknya kekeyagan jd ngomongnya kuat"
"73",132,-1,"Gubernurnya terlalu polos untuk dikorek🤣"
"74",134,1,"Gw tau itu pasti suara sih cantik sharon margrid😘"
"75",135,-1,"Ha ha ha, sebjata najwa tumpul semua, kaciaaaaan.
Trims pak gubernur"
"76",136,1,"Hadeuh penguasa tanah ga pernah luput dr turunan trah keluarga besar Soeharto dr jaman baheula... Mulai anak sampai mantu atau keluarga mantan mantu... Ga salah emg dibilang kaya 7 turunan la wong dr ujung barat sampai ujung timur pasti punya tanah"
"77",137,1,"Hadir ka nazwa cantik🙃❤🙃"
"78",139,0,"Hahahaa enak bgt ya, mereka bagi - bagi negara ini sesama mereka saja. Menjijikkan!"
"79",141,2,"Hak guna usaha tanah .apa bila  pemerintah akan menggunakan tanah yg di kuasai konglomerat .tak ada ganti untung .itu sudah perjanjian"
"80",142,-2,"Hancur kaltim hancur oleh kolonialisme 2.0 !"
"81",143,-1,"Hancurnya bumi Kalimantan sudah sejak lama teh Nana... Oleh mereka para pengusaha yang nyambi jadi pejabat.... Yang selalu ngomong atas nama Rakyat..."
"82",145,1,"hasil suharto mulai terlihat yang di banggakan oleh pendukungnya bahwa banyak tanah orang cendana di luar jawa atau di jawa di kuasai cendana. HAK GUNA USAHA ITU BISA KEMBALI K NEGARA KARENA IZIN NYA HANYA USAHA. negara butuh harus kembali k negara. selama gak di panas panasi pengusahanya"
"83",147,-2,"Hehe,,gua udah survei ke lahan adik Prabowo gua udah punya video survei nya,,"
"84",148,-1,"Hehehe......ada yang tidak masuk dalam gerbong ya?"
"85",150,-1,"HGU ya kalau diminta balik negara itu konsekuensi HGU. Mereka pengusaha sudah cuan lah pastinya berkali-kali panen dan itu sudah bagian perjanjian kalau negara minta balikan lahan ya harus legowo. Tidak perlu skema atau ganti rugi."
"86",151,1,"HGU.... bisa dikembalikan ke negara kalau diperlukan..."
"87",153,-2,"Hidup tanpa masalah = Mati, ingin hidup kendalikan masalah oleh org2 yg beritegrasi bukan org2 yg suka menelikung. Menerima Taqdir bagian kenyamanan hidup, susah melihat org senang dan sukses bagian kepahitan hidup"
"88",154,2,"Hihihi..yg penting itu bukan pemindahan ikn..sebab bagaimana pemindahan pendapatan seluruh rakyat yg msh kalah jauh besarannya dibandingkan dgn neg neg yg sdh lebih dulu menjadi neg dgn pendapatan seluruh rakyatnya msk sbg neg menengah keatas..lha kalo pendapatan seluruh rakyat neg ini hihihi belom dihitung oleh badan badan international yg membidangi soal pendapatan..ga penting penting amat huhuhu..."
"89",161,2,"Ibukota sebaiknya tetap di jawa"
"90",162,-2,"IKN jangka panjang nya akan menyengsarakan rakyat kecil..jangka pendek nya membuat kaya para cukong2."
"91",163,0,"Ikn untk kepentingan oligarki bukan untk rakyat .."
"92",165,5,"indonesia maju
indonesia modern
itu rencana pa presiden untuk pindah nya ibu kota, ingin memperlihatkann bahwa indonesia akan lebih baik di mata dunia, bagus memang tpi apakah presiden bisa lihat saat ini indonesia sedang sperti apa? 
sangat disyaangkan disaat ekonomi indonesia seperti ini, kita harus siapkan 400 triliun lebih untuk ibukota baru, sangat sangat di sayangkan"
"93",166,-2,"Indonesia tidak sedang baik² saja. sakaratul maut dikarenakan mental pejabat yang kotor. Seindah apapun memoles pencitraan terkait ibu kota baru, rakyat sangat paham maksud dan tujuan terselubung nya."
"94",167,3,"info yg sangat mulia. 
jaga kesehatan dan keselamatan mba nana, semga Allah selalu melindungi panjenengan dan tim narasi, 🤲🤲"
"95",168,-1,"Ingat gak dulu ada proyek lahan pertanian sejuta hektar. Lahan gambut mau dijadikan lahan pertanian. Ujung2 nya gagal total."
"96",169,0,"Ini Gubernur ngomong apa sih? yakin banget konglomerat bakalan ngasih lahan itu cuma cuma tanpa tukar guling/itung itungan...sotoy!"
"97",170,2,"Ini kesempatan para orang kaya semakin kaya dengan memiliki lahan disekitar ibu kota 😂😂😂😂😂😂💦"
"98",171,-2,"Ini orang blum jdi presiden aja sudah kebaca tindak tanduknya, sudh mulai bagi2 proyek, pdahal baru menteri, blum lg klo jdi presiden dia, jgn2 kayak orde lama yaaah pada bagi2 jatah, sumpah gue gak akan pilih orag ituu mau dia ngecapres 1000x pun, jjijik gua"
"99",172,3,"Ini semua berkat Soeharto, terimakasih Soeharto sudah menguasai Harta Negara yang harusnya harta rakyat"
"100",173,1,"Inilah kelebihan bangsa +62 yang katanya kaya dan merdeka dari penjajahan tapi kemerdekaan itu milik korporasi/mafia dan orang yang bekerja dipemerintahan/penguasa baik dari pusat sampai daerah yang akhirnya tanah,air,udara tuk sebagian beli dan sulit dalam menikmati kemerdekaan sejatinya.Pembodohan dan kamuflase elit demi cuan yang dinikmati 7keturunan hidup nyaman,dengan sendirinya menciptakan bagaimana menyelematkan kekayaan dalam bingkai kepentingan pribadi para begundal tuk menciptakan perbudakan bahkan menguras semua potensi dengan asas bahasa ""rakyat"". Saatnya kita harus berusaha tuk menyelamatkan dan mensejahterakan keluarga sendiri karena jangan pernah berharap kesejahtraan yg adil dan merata di negeri ini ."
"101",174,1,"Intinya, maksain bikin ibu kota baru, hanya lebih kepada bisnis..., Makanya ada ide PT suara partai. Skr mesti di dukung tuh , yg ajukan PT 0% , semoga jd ikhtiar utk Indonesia lebih bersih dr kepentingan sekelompok saja."
"102",175,-4,"Investor terbesar di RI adalah Singapura. https://youtu.be/O1jyJSmPXHk
Kenapa China jadi kambing hitam? Negara tidak senang dengan kebangkitan dan pengaruh China, adalah USA. China selalu berorientasi ke bisnis. https://youtu.be/3MQFZ9azHTw 
USA selalu menginvasi negara² Islam. 
Untuk di jarah sumber alamnya (minyak). https://youtu.be/QfiBezLJl0U
Sejak Jokowi Presiden RI, banyak Negara Barat yang kepentingannya terganggu.
https://youtu.be/MNUfBJacU58
Di tanah air, ada gerombolan yang selalu bawa² China dan Komunis di setiap isu. https://youtu.be/bHdjAl-5flM
Tak ingin presiden 2024 mirip dengan Jokowi (Prabowo?)  https://youtu.be/3gNDuhYHzBM 
Mereka teriak² menolak IKN, dengan narasi yang serba dungu.Sebenarnya bisa ditarik kesimpulan. Mereka bekerja untuk kepentingan dan menjadi antek siapa? Kebetulan ada gerombolan anak bangsa yang bodoh. Mereka di manfaatkan untuk
membuat gaduh. Hanya demi sesuap nasi !? 
https://youtu.be/BoECc2Y3Cvo
Bangsa ini sedang diadu domba.
https://youtu.be/LMIFGDHAyXE
🇲🇨 HARGA MATI ✊."
"103",177,-1,"Itu dikuasai sejak jaman Soeharto yang memeras rakyatnya"
"104",179,-1,"Itu memang tanah Negara,Tapi untuk sementara waktu ( kontrak ) di gunakan oleh beberapa perusahaan.Dalam transaksinya hanya Hak Guna Bukan Hak Milik.Jadi kalo Hak Guna ketika mau dipergunakan oleh Negara lagi bisa"
"105",180,0,"Itulah hebatnya pk Jokowi....sekali tepok terungkaplah semua.....,jadi inilah yg pk jokowi bilang...duluh yg selama ini gembar gembor kalau sebagian besar tanah dikuasai asing,...untuk sembunyikan dirinya sendiri..."
"106",181,-1,"Itulah indonesia..nanti pun lahan bnyk d kuasai asing...silahkan keruk kekayaan ini  niscaya kelak kau akan d gulung oleh tanah itu sendiri"
"107",182,-1,"Itulah salah satu nya prabowo ingin gabung jokowi.para elit politik bauk.."
"108",183,1,"Itulah yg nampak.. Di dlm negara Indonesia  siap merampok rampok hasil daerah lain😂😂"
"109",184,0,"Iya memang banyak lahannya keluarga pak Prabowo tapi itu sudah sangat lama dan itu hak mereka karna punya surat surat. Yg kebanyakan sekarang banyak warga yg mau membuat surat tanah tapi bukan tanahnya"
"110",188,-1,"Jawaban yg sdh tertekan sama mba nana"
"111",190,0,"Kalau ngikutin kritik mbak nana semua, gk jalan2 negara ini🤣, acara mbak nana  aja banyak kepentingan dan titipann,,🤣"
"112",191,0,"Kalau semua dikait kaitkan pasti terkait...yang nyoroti...kepo...coba lah ..kalau keluarga nya atau saudaranya...gimana yooo..."
"113",192,-3,"Kalau tidak salah Belanda hampir seluruhnya negara yg berada di bawah muka air tapi bisa mengatasi masalah banjir lah kenapa kita harus pindah ibukota?"
"114",193,1,"Kalaupun adik Prabowo punya lahan di Kaltim kenapa dipermasalahkan sepanjang ia mendapatkan Syah secara hukum"
"115",194,-2,"Kalian tau gak sih 98% turunan arab di Indonesia itu dari negara YAMAN spt shihab, baswedan, assegaf dll.
Dan mereka genetika yaman yg negaranya sudah hancur mau menciptakan kerusakan perang saudara di negara mereka terdampar"
"116",196,0,"Kalo lahan.. Kluarga prabowo dari jaman soeharto sdh ada.. PT jaya timber group.
Gak ingat waktu debat pilpres sih.. Tapi..itu.
Sebuah konsekwensi. Lahan..yg ada dan tdk banyak konflik..disitulah yg layak.dari berbagai sisi dg tempat lainnya..!"
"117",197,3,"Kami sebagai fans rezim siap untuk mendukung segala kebijakan untuk memperkaya keluarga Prabowo yg sebelumnya kami klaim sebagai cendana!

Wkwkwkwk."
"118",199,-1,"Kami yg lahir dan di besarkan di sini aja, tidak memiliki tanah seluas itu.."
"119",200,-2,"kan ga semua sanggup dibiayai pemerintah, so perlu mitra dari swasta.. Jakarta saja dulu yang mbangun kongsi dagang VOC, EIC, dilanjut kolonial Belanda.. So, apa yang salah.."
"120",202,1,"karepmu....yg panting hidup di hongkong lebih makmur"
"121",203,1,"Kata pak gubernur pasti rela. Sotoy"
"122",204,2,"Kd usah ngotot2 pak gubernur lah...mudahan Alloh swt memberi yg terbaik utk negeri tercinta..."
"123",205,2,"Kegaduhan demi kegaduhan sengaja terus di angkat untuk menutupi fakta  tentang ikn...."
"124",207,0,"Kenapa gak pakai kata Rp, malah mempopolirkan kata Cuan, tlg ba nana pakailah nama mata uang kita,Rp mbak nana seorang wartawan dan pablikfigur aoa yg di ucapkan mbak nana pasti di ikuti orang"
"125",208,-4,"kenapa nama2 tersebut yang keluar? ya karena mereka memiliki beberapa keuntungan. yang saya lihat adalah mereka berada di ""ring 1 pemerintahan"", dan juga mereka punya modal. klo menurut saya, dari pada pemerintah memberikan peluang ini kepada pihak asing, lebih baik jatuh ke tangan anak bangsa. mungkin didalamnya ada campurtangan dari ""transaksi politik"" (itu saya tidak bisa membuktikan) tapi daripada Kalimantan nasibnya sama seperti IrianJaya (freeport) yang ""jatuh"" ketangan asing. ya kenapa kita tidak memberikan kesempatan kepada orang kita sendiri. atau apakah memang seharusnya investor itu bukan dari kalangan orang dalam pemerintahan ya? nanti akan banyak dinamika didalamnya, seperti orang pemerintahan akan berusaha main belakang, menjegal, dsb. yang saya katakan ini sepertinya sudah pernah terjadi ya. tidak akan ada yg bisa bersih 100% di dalam proyek, yang patut kita lihat adalah lebih banyak mudhorotnya yang mana?  dan pendapat saya, daripada jatuh ke tangan asing..."
"126",209,-2,"Kenapa Prabowo masuk ke kabinet...mungkin ini salah satu nya...wkwkwk"
"127",210,0,"kenapa sih Najwa julit banget ya. kalau pemerintah membeli dari dr hasyim kan wajar aja. karna dia sudah lama memiliki lahan tersebut sejak zaman soeharto. kalaupun ada kerjasama yaaaa itung2 sama2 untung. mana ada orang menyweahkan tanahnya begitu saja. coba kalau najwa punya tanah. apa mau diambil begiti saja ? Jokowi tdk aama dgn anis yg kerjanya hambur2 uang pemda."
"128",211,-1,"Kental dengan bagi2 rejeki sesama"
"129",213,-4,"Kesannya jahat banget dan penuh dendam. Terselubung 😏😒 gak nyangka  tertawa diatas penderitaan orang laen. Yg sama sekali blum tentu berfaedah"
"130",214,-3,"Ketamakan terkadang membutakan realita usia manusia tidak lebih dari seratus tahun."
"131",216,-1,"Kita rakyat Indonesia dan sama-sama kita Pegang KATA/ Kalimat Gubernur Kaltim, awasi setiap saat kalau ada yang tidak terbukti/ transparan."
"132",220,2,"Kok ibukota jadi pusat segala macam sih. Haduh berarti bukan pusat pemerintahan doank donk. Yah ngaco itu sama ajha kayak ngebangun Jakarta ke dua. Bukan membangun ibukota. Gw pikir kayak model negara lain ibukota cuma jadi pusat pemerintahan. Seperti  kota canbera di australia dan Washington DC di usa"
"133",222,-4,"Kok saya jadi sakit kepala ya, ternyata pembangunan ibu kota baru ini didominasi oleh ‘orang orang’ itu saja, yg haus sekali dengan ‘uang rakyat’. Kenapa ya pemerintah sekarang tambah menonjol dengan praktik KKN, bahkan tidak tahu malu saat mereka nama mereka disebutkan. Oooh baru tahu, jadi ini ya akibat dari pelemahan KPK."
"134",224,1,"Kompak sekali merampok negara"
"135",225,-1,"Kongkalikong"
"136",226,0,"Kuat ngeles kai 🤫"
"137",227,2,"KUE DAH DI BAGI-BAGI..  Kan lumayan bisa buat 7 turunan... Huahahahaaaaa.... Keren kan negeriku ini.."
"138",228,-1,"Kurang edukasi kau"
"139",230,-1,"Lah dikira itu tanahnya punya negara atau privat property punya warga sana  jadi gak perlu pembebasan lahan yang ribet kalo sama korporasi. Alamak"
"140",232,2,"Lahan di kalimantan banyak dikuasai oleh pengusaha menjadi lahan produktif seperti usaha tambang, kehutanan dan perkebunan, negara memberikan HGU dan HGB kepada pengusaha untuk melakukan eksploitasi potensi pada lahan tersebut, bila negara membutuhkan maka lahan dimaksud harus dikembalikan ke negara tanpa ganti rugi."
"141",234,0,"lebih baik mbak Najwa angkat topik Novel Baswedan dkk kok mau bergabung jadi ASN di Polri ato lumpur Lapindo yang tidak kunjung selesai.."
"142",235,3,"Letak nya kata gubernur di atas aman dari Banjirr lah di Bawah nya banyak Rakyat yg tinggal , apa gak nambah bikin Banjirr rakyat yg tinggal di bawah nya , !!!!!!????? Gak sayang  Rakyat nih , parahhhh"
"143",236,0,"Logika netizen 
Miskin  sudah pasti benar 
Kaya sudah pasti salah"
"144",238,0,"lucu sekali gubernur ini bicara bahasa hukum kok manas2in ?"
"145",243,1,"Luhut lagi... Luhut lagi...
Dimana mana ada proyek dan tambang besar, pasti ada aja nama perusahaan yg berkaitan dgn Luhut Binsar Panjaitan"
"146",246,-2,"Mafia ibukota merajalela dengan meraup keuntungan untuk pribadi...."
"147",247,-1,"Mafia lg 2 rakyatngk kebagian"
"148",250,-1,"Makanya dijaman jokowi, ditarik kembali ke negara ❤️"
"149",251,-2,"Makin hancur kaltim habis hutan nya"
"150",252,0,"Makin kaya para kolega hahaha"
"151",254,-1,"Malu rasa nya dulu selalu mengagung agungkan prabowo....ya sudahlah"
"152",255,0,"Mana mungkin sebegitu mudah memulangkan semula tanah yang diusahakan dipulangkan sebegitu sahaja kepada negara. Tanpa niat untung..."
"153",257,2,"Mantabs   ... ayo yg punya uang banyak bisa segera borong  tanah di sekitar IKN buat investasi nih lumayan keburu harga naik  ..."
"154",259,0,"Manusia itu makhluk sosial, makhluk bermoral. Lebih dari itu manusia juga makhluk ekonomi yang rasional. Dari kerasionalan itu lah manusia cenderung untuk ""memaksimalkan keuntungan dan meminimalisir kerugian"". It's just logic"
"155",261,1,"masa ada pengusaha gak mau cuan dan rela gitu ajabsi wkwk"
"156",262,1,"Masa pengusaha rela lahan cuan nya di pake buat ikn begitu saja dengan dalih proud🤣. Pak gub ini ada"" Saja"
"157",263,0,"Masalahnya di mana ngga ditunjukan. Cuma tendensius saja. Kebiasaan ngga baik ini jurnalisme narasi tv."
